"doy","mint_C","maxt_C","airt_C","co2_ppm","swrad_MJm2day","vpd_kPa","precip_kgm2s","wind_spd_ms"
49,5.806,7.467,6.701,428.075,2.6733024,0.0039,0.000147523148148148,10.565
50,5.397,12.53,9.338,419.289,4.9972032,0.0331,0.000321423611111111,9.279
51,11.44,13.98,12.536,418.078,7.103808,0.1509,0.000172534722222222,12.247
52,7.68,12.98,11.114,416.372,5.3059968,0.0399,0.000499548611111111,11.344
53,5.625,11.59,8.245,420.649,8.359632,0.0638,1.38078703703704e-05,6.762
54,8.61,13.44,10.703,417.777,4.572288,0.0642,0.000542974537037037,13.91
55,4.007,10.79,7.074,419.736,8.5504896,0.0287,2.77546296296296e-05,7.379
56,1.785,9.14,5.171,420.121,9.1545984,0.0631,3.49652777777778e-05,6.668
57,2.218,8.45,5.406,420.488,9.1988352,0.0768,0.00012412037037037,9.75
58,-1.742,10.32,3.536,429.347,9.6217632,0.1129,1.80555555555556e-06,3.03
59,-3.578,9.86,3.71,443.517,9.4009248,0.1339,2.43055555555556e-07,3.472
60,-0.739,10.1,5.773,440.192,5.5748736,0.0593,2.10648148148148e-05,2.375
61,5.61,10.85,7.793,444.361,4.6231776,0.061,2.97453703703704e-06,4.435
62,4.287,12.35,7.964,435.754,6.5506752,0.0916,5.78703703703704e-07,4.296
63,0.901,11.25,6.293,436.738,10.5167808,0.1009,1.62037037037037e-07,5.699
64,5.469,11.98,8.771,433.217,4.8555936,0.0716,2.16435185185185e-06,8.123
65,2.768,12.99,9.31,435.597,3.5483616,0.0639,3.68402777777778e-05,7.402
66,4.318,11.54,8.514,448.895,3.5995104,0.0023,4.2337962962963e-05,4.103
67,7.358,14.5,10.537,440.629,6.99624,0.0753,5.09606481481481e-05,7.286
68,5.229,16.05,10.003,448.219,13.0091616,0.19,0,5.182
69,2.424,13.44,7.86,446.156,12.0699936,0.0883,2.10648148148148e-06,7.769
70,1.399,8.16,4.999,437.406,12.989376,0.1875,0,6.256
71,1.611,9.73,5.273,439.26,13.3186464,0.1981,4.52546296296296e-06,5.805
72,-0.134,8.91,4.846,440.108,7.8739776,0.1483,2.84490740740741e-05,3.802
73,-1.073,8.92,4.915,449.406,10.4277888,0.1272,8.95486111111111e-05,4.966
74,-5.774,10.05,3.242,470.531,11.9974176,0.2047,0,2.275
75,4.212,10.06,6.841,441.763,8.7110208,0.249,4.16666666666667e-07,4.032
76,5.062,8.37,6.787,441.488,3.9827808,0.1236,8.7962962962963e-07,6.687
77,0.7,10.61,5.952,441.822,10.1903616,0.2282,1.04166666666667e-07,6.928
78,-2.356,14.12,5.824,455.651,15.7000032,0.2461,0,4.529
79,1.905,18.04,10.131,455.305,14.873328,0.2611,0,6.958
80,9.22,14.7,10.988,451.111,6.208704,0.0351,0.000392141203703704,5.869
81,5.807,10.03,8.036,452.269,3.3844608,0.0016,0.000215590277777778,7.193
82,4.257,11.06,7.466,440.675,9.3175488,0.1149,2.28009259259259e-06,7.941
83,-1.959,13.55,6.666,457.944,17.6499648,0.1603,3.47222222222222e-08,4.29
84,1.264,12.34,9.119,456.999,9.5758848,0.0886,7.51157407407407e-06,3.88
85,1.556,13.38,8.719,478.368,7.7505984,0.0126,2.90509259259259e-06,3.865
86,7.281,15.67,10.662,453.555,8.3512512,0.0725,0.000135208333333333,8.603
87,1.591,9.96,6.428,448.656,15.898896,0.0918,3.87037037037037e-05,8.948
88,1.372,12.05,8.087,453.174,4.5494784,0.008,3.50462962962963e-05,8.362
89,5.509,15.4,10.705,450.584,17.2460448,0.1645,1.19212962962963e-06,5.6
90,5.075,17.52,12.287,461.251,13.020912,0.3229,1.93287037037037e-06,4.241
91,3.933,15.76,9.741,449.905,17.8749504,0.4147,0,7.904
92,2.835,16.28,9.311,450.317,20.4572736,0.3989,0,6.867
93,5.07,15.35,10.482,448.5,19.5948288,0.2598,1.12268518518519e-05,9.361
94,10,16.18,12.346,450.546,10.0584288,0.1552,6.43518518518519e-06,9.067
95,6.147,14.74,10.093,445.28,20.5353792,0.2915,0,11.408
96,2.825,17.96,9.965,451.932,21.819024,0.4791,0,6.492
97,-2.448,18.96,9.249,466.289,21.7764288,0.4733,0,3.028
98,0.893,18.37,9.534,449.071,21.10104,0.467,0,2.987
99,-1.825,19.06,9.494,454.357,21.9062016,0.4828,0,3.664
100,-0.643,19.97,10.091,453.929,22.2438528,0.4647,0,1.775
101,-1.09,20.97,10.883,485.65,22.5046944,0.5792,0,2.206
102,0.667,14.21,7.893,458.788,12.8706624,0.1817,7.98611111111111e-07,4.07
103,3.02,10.54,6.991,434.945,15.376608,0.165,0.000123460648148148,5.38
104,1.852,13.36,7.78,433.716,17.6846976,0.2503,0.000132974537037037,4.964
105,0.879,12.03,6.916,440.119,13.7785536,0.3101,1.33912037037037e-05,5.275
106,0.43,9.83,5.68,431.421,7.3700064,0.0911,0.000439444444444445,7.4
107,-2.977,13.23,5.802,451.574,17.0923392,0.2239,7.21759259259259e-05,2.914
108,5.034,9.71,8.045,432.414,4.200336,0.0032,0.000821944444444444,9.52
109,9.01,10.8,9.942,432.225,3.8486016,0.0029,0.000399409722222222,5.614
110,8.53,13.07,10.417,439.816,5.977584,0.019,0.000159837962962963,3.99
111,6.143,14.49,9.906,432.395,18.4529664,0.2054,0.0001809375,6.548
112,1.867,12.28,8.182,439.917,5.7632256,0.0335,0.00029931712962963,6.021
113,6.161,13.25,10.273,435.976,8.6511456,0.0725,3.91435185185185e-05,4.85
114,8.7,15.54,11.895,436.066,13.8226176,0.157,0.000212592592592593,6.823
115,10.32,14.5,11.546,429.575,8.143632,0.0039,0.000692662037037037,5.177
116,8.9,17.57,12.899,442.217,21.4709184,0.3204,6.45833333333333e-06,4.892
117,11.8,17.59,14.38,425.668,12.6544032,0.2405,4.49074074074074e-06,8.489
118,9.69,18.77,14.396,425.697,19.2951072,0.3476,2.4849537037037e-05,5.411
119,6.395,22.29,14.295,436.582,21.7873152,0.522,0,3.916
120,7.303,24.76,16.654,460.994,26.941248,0.7985,1.8287037037037e-06,3.475
