"doy","NEE_gCm2day","NEE_unc_gCm2day","Evap_kgH2Om2day","Evap_unc_kgH2Om2day","soil_water_m3m3","soil_water_unc_m3m3","WTD_m","WTD_unc_m"
56,0.398496181248,0.58,0.50906443685118,0.77,-9999,-9999,-0.0802083333333333,-0.00802083333333333
57,0.42286364496,0.58,1.41656340975218,0.77,-9999,-9999,-0.08375,-0.008375
58,0.575404403616,0.58,1.49811619479419,0.77,-9999,-9999,-0.105208333333333,-0.0105208333333333
59,0.780269369472,0.58,0.949864855250151,0.77,-9999,-9999,-0.111666666666667,-0.0111666666666667
60,0.123385513248,0.58,0.764490456900955,0.77,-9999,-9999,-0.12,-0.012
61,1.0650064464,0.58,0.576848926366131,0.77,-9999,-9999,-0.124375,-0.0124375
62,0.964876021056,0.58,0.356114261099153,0.77,-9999,-9999,-0.12,-0.012
63,0.6209900208,0.58,0.536686316051786,0.77,-9999,-9999,-0.08625,-0.008625
64,0.680309121024,0.58,1.08889409866916,0.77,-9999,-9999,-0.0960416666666667,-0.00960416666666667
65,0.502297861824,0.58,0.73508222800803,0.77,-9999,-9999,-0.109791666666667,-0.0109791666666667
66,0.306782248608,0.58,0.851740651946808,0.77,-9999,-9999,-0.120625,-0.0120625
67,0.321737062176,0.58,0.984929197747319,0.77,-9999,-9999,-0.13,-0.013
68,0.643545723168,0.58,0.812460797029711,0.77,-9999,-9999,-0.130416666666667,-0.0130416666666667
69,0.95255479872,0.58,0.567938046648266,0.77,-9999,-9999,-0.13,-0.013
70,0.764542533888,0.58,0.671934549264903,0.77,-9999,-9999,-0.098125,-0.0098125
71,0.509125690944,0.58,1.07272974084494,0.77,-9999,-9999,-0.0672916666666667,-0.00672916666666667
72,0.773881509888,0.58,0.802849345081426,0.77,-9999,-9999,-0.0852083333333333,-0.00852083333333333
73,0.633013433568,0.58,0.669431701704686,0.77,-9999,-9999,-0.0875,-0.00875
74,0.211666853376,0.58,0.831106841763437,0.77,-9999,-9999,-0.0783333333333333,-0.00783333333333333
75,0.823849182144,0.58,0.215325422641528,0.77,-9999,-9999,-0.08375,-0.008375
76,0.283003140384,0.58,0.634611608673678,0.77,-9999,-9999,-0.08375,-0.008375
77,0.000898449960096,0.58,1.29986233712944,0.77,-9999,-9999,-0.0964583333333333,-0.00964583333333333
78,0.0437073415776,0.58,1.21381685022732,0.77,-9999,-9999,-0.107708333333333,-0.0107708333333333
79,-0.042906368736,0.58,1.19104703608571,0.77,-9999,-9999,-0.121666666666667,-0.0121666666666667
80,-0.0801015385824,0.58,0.861576748099696,0.77,-9999,-9999,-0.134375,-0.0134375
81,0.295131357216,0.58,0.895149494103549,0.77,-9999,-9999,-0.14,-0.014
82,0.376358657472,0.58,1.20280977972185,0.77,-9999,-9999,-0.148125,-0.0148125
83,0.38759863392,0.58,1.06635025234268,0.77,-9999,-9999,-0.158125,-0.0158125
84,-9999,-9999,1.1520521923607,0.77,-9999,-9999,-0.166666666666667,-0.0166666666666667
85,0.490098046176,0.58,0.97128662450079,0.77,-9999,-9999,-0.175416666666667,-0.0175416666666667
86,0.364909072896,0.58,1.19019619363184,0.77,-9999,-9999,-0.18,-0.018
87,-9999,-9999,1.03049495774604,0.77,-9999,-9999,-0.188958333333333,-0.0188958333333333
88,0.778920406272,0.58,0.259157048102607,0.77,-9999,-9999,-0.189791666666667,-0.0189791666666667
89,0.3708611136,0.58,1.05851276184332,0.77,-9999,-9999,-0.137291666666667,-0.0137291666666667
90,0.490941667008,0.58,0.602241738740404,0.77,-9999,-9999,-0.096875,-0.0096875
91,0.1020020599008,0.58,1.22792818637317,0.77,-9999,-9999,-0.0854166666666667,-0.00854166666666667
92,0.381146439168,0.58,1.07532279627211,0.77,-9999,-9999,-0.0952083333333333,-0.00952083333333333
93,-9999,-9999,0.746980296100487,0.77,-9999,-9999,-9999,-9999
94,0.358879207392,0.58,0.949189871892294,0.77,-9999,-9999,-0.113541666666667,-0.0113541666666667
95,0.7868346696,0.58,0.225042736883657,0.77,-9999,-9999,-0.0975,-0.00975
96,0.0731037400992,0.58,1.38641998213297,0.77,-9999,-9999,-0.0683333333333333,-0.00683333333333333
97,0.41486325552,0.58,1.11039584817042,0.77,-9999,-9999,-0.0747916666666667,-0.00747916666666667
98,0.124911916992,0.58,1.3935064059974,0.77,-9999,-9999,-0.091875,-0.0091875
99,-9999,-9999,1.40273678325086,0.77,-9999,-9999,-0.1,-0.01
100,0.0694869622272,0.58,0.922933015546846,0.77,-9999,-9999,-0.11875,-0.011875
101,0.428994163872,0.58,0.610168940479837,0.77,-9999,-9999,-0.131458333333333,-0.0131458333333333
102,1.49512855104,0.58,0.174921426034326,0.77,-9999,-9999,-0.12375,-0.012375
103,0.933402634272,0.58,0.628865543164428,0.77,-9999,-9999,-0.0920833333333333,-0.00920833333333333
104,0.261481989024,0.58,1.06040657043404,0.77,-9999,-9999,-0.104791666666667,-0.0104791666666667
105,0.460689610752,0.58,0.682306985895581,0.77,-9999,-9999,-0.116666666666667,-0.0116666666666667
106,0.0113832778464,0.58,0.946054119375231,0.77,-9999,-9999,-0.133125,-0.0133125
107,0.154846448064,0.58,1.08519646907559,0.77,-9999,-9999,-0.145,-0.0145
