,run_day,minT,maxT,srad,co2,DOY,lagged_precip,Lai_loss,burnt_area_fraction,21d_minT,21d_photoperiod,21d_vpd,Forest_mgmt_after_clearing,Mean_T,doy,mint_C,maxt_C
2017-04-30,126.0,6.40155029296875,12.901432582310267,17.282923999999998,409.294,126.0,-9999.0,0.01,-9999.0,277.5738191980894,50373.917073800636,261.8125976770103,-9999.0,-9999.0,120,6.40155029296875,12.901432582310267
2017-05-07,133.0,7.287105015345982,14.324301583426339,27.025858,409.426,133.0,-9999.0,0.77,-9999.0,278.1629301110092,51878.73353355621,273.40783224300463,-9999.0,-9999.0,127,7.287105015345982,14.324301583426339
2017-05-14,140.0,8.237579345703125,14.043845040457589,23.155003999999998,409.558,140.0,-9999.0,0.97,-9999.0,279.8182276304076,53300.28494381641,248.31656797240382,-9999.0,-9999.0,134,8.237579345703125,14.043845040457589
2017-05-21,147.0,11.14056396484375,19.036638532366073,28.693772,409.69,147.0,-9999.0,0.12,-9999.0,281.24816529150723,54612.24532834574,254.01684419800634,-9999.0,-9999.0,141,11.14056396484375,19.036638532366073
2017-05-28,154.0,10.628941127232142,17.943394252232142,22.729716,409.49,154.0,-9999.0,0.21,-9999.0,282.8936021039275,55784.517543118134,263.50739859237154,-9999.0,-9999.0,148,10.628941127232142,17.943394252232142
2017-06-04,161.0,10.241263253348214,15.207972935267858,23.875352,409.28999999999996,161.0,-9999.0,0.54,-9999.0,283.30210438423416,56784.48912997234,274.96046868149114,-9999.0,-9999.0,155,10.241263253348214,15.207972935267858
2017-06-11,168.0,10.393184116908483,18.602469308035715,28.680111999999998,409.09,168.0,-9999.0,0.4,-9999.0,283.7879988274606,57579.29466723692,286.16078756942227,-9999.0,-9999.0,162,10.393184116908483,18.602469308035715
2017-06-18,175.0,14.166604178292411,23.103044782366073,28.719272,408.89,175.0,-9999.0,0.62,-9999.0,284.1900571239238,58138.9998220425,366.3205038057704,-9999.0,-9999.0,169,14.166604178292411,23.103044782366073
2017-06-25,182.0,12.098798479352679,16.482099260602677,23.379488,408.45,182.0,-9999.0,0.87,-9999.0,285.2351641804182,58440.26461414615,404.72776514170124,-9999.0,-9999.0,176,12.098798479352679,16.482099260602677
2017-07-02,189.0,12.767630440848214,20.677032470703125,28.355453999999998,408.01,189.0,-9999.0,0.08,-9999.0,285.79280524221406,58469.69179199117,410.8581166170081,-9999.0,-9999.0,183,12.767630440848214,20.677032470703125
