"doy","mint_C","maxt_C","airt_C","co2_ppm","swrad_MJm2day","vpd_kPa","precip_kgm2s","wind_spd_ms"
73,4.36,10.006,6.594,461.46,7.3342368,0.2108,8.72685185185185e-05,5.43
74,1.85,9.82,7.113,460.983,6.4002528,0.2055,3.80787037037037e-05,4.445
75,2.04,9.841,6.554,463.209,3.4643808,0.1538,6.46990740740741e-05,2.736
76,0.79,11.752,6.551,468.598,6.1967808,0.2019,6.2037037037037e-05,5.651
77,0.72,13.661,7.676,462.929,13.8988224,0.3185,5.9837962962963e-05,3.092
78,4.79,14.79,8.767,455.893,15.0214176,0.4237,4.88425925925926e-05,2.317
79,-0.21,14.76,8.253,465.476,15.4384704,0.3689,1.52777777777778e-05,2.016
80,-2.72,15.029,7.744,475.013,14.80248,0.337,2.33796296296296e-05,1.314
81,3.63,17.09,8.761,458.935,11.968128,0.3542,2.16435185185185e-05,1.73
82,5.745,18.03,8.953,457.035,13.2666336,0.3972,3.62268518518518e-05,2.439
83,5.488,15.57,8.945,459.357,12.3367968,0.3616,2.58101851851852e-05,2.856
84,4.98,16.05,9.542,459.854,14.61024,0.3435,3.55324074074074e-05,2.735
85,5.076,18.61,8.553,461.096,12.8241792,0.3382,3.35648148148148e-05,1.602
86,5.074,17.68,8.952,461.279,16.25616,0.3875,1.64351851851852e-05,2.25
87,4.15,14.629,8.274,469.989,15.8212224,0.3316,1.43518518518519e-05,2.001
88,0.59,11.355,7.01,479.758,6.2279712,0.1866,6.18055555555555e-05,2.964
89,-0.03,13.939,6.143,471.848,12.9804768,0.237,8.66898148148148e-05,4.625
90,-0.37,12.321,5.495,473.268,11.2129056,0.2058,4.6875e-05,3.735
91,-0.62,13.966,5.079,470.246,14.2765632,0.2699,1.11111111111111e-05,2.552
92,2.65,12.388,5.571,472.71,14.08536,0.2387,2.92824074074074e-05,1.641
93,0.888,8.393,4.47,468.517,10.6659936,0.1487,2.2349537037037e-05,5.839
94,2.824,10.28,5.197,450.083,11.8622016,0.1824,1.80555555555556e-05,8.183
95,2.801,9.52,4.802,453.892,5.2024032,0.1734,8.4375e-05,8.52
96,3.004,8.046,4.644,443.386,14.5145088,0.2269,0.00013900462962963,6.786
97,1.77,8.189,4.903,437.901,8.91648,0.1917,5.99537037037037e-05,4.585
98,0.28,9.96,5.665,437.671,15.3581184,0.2559,3.22916666666667e-05,3.208
99,0.82,7.952,5.604,438.907,14.9062464,0.2045,5.2662037037037e-06,3.659
100,-1.14,11.531,7.406,436.46,13.6763424,0.2821,2.02546296296296e-05,2.182
101,2.97,11.995,8.74,430.643,7.519392,0.2793,5.43981481481481e-06,2.609
102,6.53,11.513,7.509,434.515,2.9402784,0.1895,6.75925925925926e-05,2.553
103,6.41,12.63,8.527,430.274,6.693408,0.1694,2.73148148148148e-05,4.107
104,7.038,14.35,9.762,423.887,11.7256896,0.2622,3.0787037037037e-05,2.552
105,7.42,15.06,9.978,423.598,7.785936,0.2887,1.80555555555556e-05,2.041
106,8.025,14.69,11.045,421.503,11.8425024,0.2633,4.74537037037037e-05,3.594
107,7.787,17.13,10.815,414.211,14.2515936,0.3107,1.35416666666667e-05,3.304
108,3.49,14.27,9.771,425.01,17.6384736,0.2632,1.66666666666667e-05,4.869
109,1.26,14.27,9.616,429.819,14.1810048,0.2926,2.26851851851852e-05,1.707
110,1.71,15.89,9.782,425.495,20.4362784,0.3413,1.18055555555556e-05,2.094
111,5.31,13.82,9.2,429.687,19.116864,0.2773,1.13425925925926e-05,4.554
112,5.21,15.623,9.383,425.214,17.7466464,0.3505,6.59722222222222e-06,5.526
113,5.499,11.547,8.227,427.187,17.740512,0.1683,5.78703703703704e-08,5.322
114,4.708,10.2,7.088,428.218,17.270496,0.135,1.35416666666667e-06,4.789
115,5.393,13.165,8.139,427.232,12.9348576,0.2957,4.0625e-05,2.396
116,4.91,13.306,8.046,435.998,9.9340992,0.2538,3.66898148148148e-05,2.364
117,2.61,15.915,9.052,432.313,21.9043872,0.3846,1.14583333333333e-05,2.335
118,0.17,13.893,7.983,430.707,17.3730528,0.3231,3.47222222222222e-06,1.79
119,1.72,17.09,10.017,426.178,21.3186816,0.4642,4.39814814814815e-06,2.094
120,3.18,13.982,9.11,429.388,12.0124512,0.2248,5.18518518518519e-05,4.381
121,7.465,15.5,10.359,420.193,14.8017888,0.2735,2.47685185185185e-05,2.438
122,7.36,12.335,9.464,429.593,5.5988928,0.1921,5.43981481481481e-06,2.537
123,7.16,12.822,9.54,426.907,8.976528,0.1888,3.0787037037037e-05,2.194
124,7.23,15.273,10.752,422.801,16.9264512,0.2913,3.77314814814815e-05,4.915
125,5.37,14.23,10.718,421.695,11.1048192,0.2189,2.95138888888889e-05,4.907
126,8.57,15.22,11.395,419.128,12.8831904,0.2624,4.82638888888889e-05,5.347
127,8.09,15.36,10.893,425.515,9.0441792,0.2295,2.67361111111111e-05,1.54
128,9.337,17.49,12.086,415.476,15.4797696,0.3443,3.24074074074074e-06,2.985
129,9.332,13.617,10.937,418.04,7.6249728,0.2226,2.93981481481481e-05,7.074
130,7.65,16.315,11.743,419.987,18.268848,0.3055,6.30787037037037e-05,7.162
131,6.79,16.315,11.89,421.913,20.3596416,0.3377,5.3125e-05,6.907
132,6.65,16.273,12.164,422.629,18.982512,0.3348,8.40277777777778e-05,6.594
133,9.3,14.201,11.545,421.754,7.6583232,0.2657,3.34490740740741e-05,7.392
134,8.77,16.92,12.273,419.246,22.2407424,0.362,2.99768518518519e-05,4.089
135,8.5,14.731,11.696,418.545,14.198112,0.2518,2.68518518518518e-05,2.11
136,10.161,12.75,10.915,421.88,3.08448,0.1165,9.3287037037037e-05,2.312
