"doy","NEE_gCm2day","NEE_unc_gCm2day","Evap_kgH2Om2day","Evap_unc_kgH2Om2day","soil_water_m3m3","soil_water_unc_m3m3"
77,0.0346006985472,0.58,0.506009052998331,0.77,0.91947,0.091947
78,0.242666027712,0.58,0.211841818344991,0.77,0.91904,0.091904
79,0.164885847264,0.58,0.466640769029815,0.77,0.91855,0.091855
80,-0.151564316832,0.58,0.86526513966979,0.77,0.91803,0.091803
81,0.240589662048,0.58,0.269841097351021,0.77,0.91782,0.091782
82,-0.270253362816,0.58,1.19924134461965,0.77,0.91783,0.091783
83,-0.309456308736,0.58,1.07878988512459,0.77,0.91806,0.091806
84,-0.126453885696,0.58,0.36848387855439,0.77,0.91863,0.091863
85,0.156333420576,0.58,0.373768201490356,0.77,0.91855,0.091855
86,0.613379793024,0.58,0.153909897612034,0.77,0.91756,0.091756
87,-0.0051459314256,0.58,0.760870902375285,0.77,0.91707,0.091707
88,-0.342904370112,0.58,0.994566245212466,0.77,0.91734,0.091734
89,-0.351595843776,0.58,0.789380100944256,0.77,0.91748,0.091748
90,-0.309367069632,0.58,0.985426622751135,0.77,0.91772,0.091772
91,-0.00126234938592,0.58,0.534081672997413,0.77,0.91752,0.091752
92,-0.0105127815168,0.58,0.305651843534407,0.77,0.91717,0.091717
93,-0.107158523616,0.58,0.481094055083916,0.77,0.91699,0.091699
94,0.115599920256,0.58,0.644671820777032,0.77,0.91676,0.091676
95,0.22067481456,0.58,0.316373139103777,0.77,0.91597,0.091597
96,0.22957278336,0.58,0.655260233473213,0.77,0.91496,0.091496
97,0.251014034592,0.58,0.988639284567531,0.77,0.91365,0.091365
98,-0.187799543712,0.58,1.05122582032365,0.77,0.91305,0.091305
99,0.588519438912,0.58,0.130803062709229,0.77,0.91329,0.091329
100,-0.17725376448,0.58,1.20800570522259,0.77,0.91425,0.091425
101,0.433462345056,0.58,0.236458188098213,0.77,0.91472,0.091472
102,0.361597887072,0.58,0.339197521474607,0.77,0.91417,0.091417
103,0.358626017376,0.58,0.230951485220761,0.77,0.91271,0.091271
104,-0.462789842688,0.58,1.35236257499414,0.77,0.91185,0.091185
105,-0.17006275296,0.58,0.477500271295913,0.77,0.91154,0.091154
106,-0.244148849568,0.58,1.03593389380749,0.77,0.91173,0.091173
107,-0.37051868448,0.58,1.01752750430274,0.77,0.91235,0.091235
108,-0.126695661408,0.58,0.466654336801289,0.77,0.91246,0.091246
109,-0.12959904528,0.58,0.521053833829686,0.77,0.91239,0.091239
110,-0.08160967944,0.58,0.694750127468687,0.77,0.91187,0.091187
111,-0.280816782336,0.58,1.06317869639545,0.77,0.91133,0.091133
112,-0.0850162265856,0.58,1.02248611720522,0.77,0.91074,0.091074
113,-0.2464711416,0.58,0.819552922142313,0.77,0.90983,0.090983
114,0.0520460094816,0.58,1.18092951076465,0.77,0.90859,0.090859
115,-0.235032971328,0.58,1.09910855068946,0.77,0.90692,0.090692
116,0.0159505559424,0.58,0.42948607318179,0.77,0.9054,0.09054
117,-0.133387556544,0.58,0.624823801807328,0.77,0.9049,0.09049
118,-0.038807595936,0.58,0.606250976644664,0.77,0.90516,0.090516
119,-0.0340459633728,0.58,0.648150189504343,0.77,0.90541,0.090541
120,0.154847485728,0.58,0.474365560751034,0.77,0.9057,0.09057
121,-0.043906676832,0.58,0.629210374443952,0.77,0.90527,0.090527
122,-0.358117562016,0.58,0.794159794521591,0.77,0.90496,0.090496
123,0.614393590752,0.58,0.145525990992919,0.77,0.90455,0.090455
124,0.488383825248,0.58,0.0830817309284846,0.77,0.90455,0.090455
125,0.105454679328,0.58,0.338379992764733,0.77,0.90439,0.090439
126,-0.35478769824,0.58,0.998016737001327,0.77,0.90335,0.090335
127,0.0499425607872,0.58,0.248296372053884,0.77,0.90145,0.090145
128,-0.208828842336,0.58,0.459623549872929,0.77,0.90091,0.090091
129,-0.585588038112,0.58,0.729094361460089,0.77,0.8998,0.08998
130,-0.668335516128,0.58,1.1359534996661,0.77,0.89814,0.089814
131,-0.0319733332992,0.58,1.86326985970945,0.77,0.89586,0.089586
132,-0.468628778016,0.58,1.26465071472882,0.77,0.89332,0.089332
133,-0.362171715264,0.58,0.858986419001349,0.77,0.89116,0.089116
134,0.621668653056,0.58,0.142910800300032,0.77,0.8893,0.08893
135,-9999,-9999,0.819449802596047,0.77,0.88901,0.088901
136,-0.564365733984,0.58,0.976418491975794,0.77,0.88848,0.088848
137,-0.0436155083136,0.58,0.914942578349199,0.77,0.88769,0.088769
138,0.0926205396768,0.58,0.527874732980299,0.77,0.8863,0.08863
139,-0.227459061792,0.58,0.293188362303839,0.77,0.88552,0.088552
140,-0.585524740608,0.58,1.57219415219346,0.77,0.88508,0.088508
141,-0.1824213312,0.58,1.10877224113369,0.77,0.88305,0.088305
142,-0.104656715712,0.58,0.34148935341426,0.77,0.8812,0.08812
143,-0.499130911296,0.58,0.499754489834007,0.77,0.88127,0.088127
144,-1.21703459904,0.58,0.979075182808868,0.77,0.88222,0.088222
145,-0.459563745312,0.58,0.534099574373051,0.77,0.88301,0.088301
146,-0.630314469504,0.58,0.472403695978088,0.77,0.883,0.0883
147,-0.462135076704,0.58,0.597278186273818,0.77,0.88372,0.088372
148,-1.29555463392,0.58,0.704005078859614,0.77,0.8841,0.08841
149,-0.783055497312,0.58,0.477554973255472,0.77,0.88373,0.088373
150,-0.846201502368,0.58,0.588087791323931,0.77,0.88313,0.088313
151,-1.14515561376,0.58,0.602283896455824,0.77,0.88297,0.088297
152,-1.43577417024,0.58,1.39475780890427,0.77,0.8829,0.08829
153,-0.78508620576,0.58,1.17084511513804,0.77,0.88167,0.088167
154,-0.900794043072,0.58,1.08857182138397,0.77,0.87966,0.087966
155,-0.454176193824,0.58,0.367278656537959,0.77,0.87725,0.087725
156,-0.824145954048,0.58,1.42096843503959,0.77,0.87567,0.087567
157,-0.975236058432,0.58,1.10778278894322,0.77,0.87534,0.087534
158,-0.765000143712,0.58,1.05881160204195,0.77,0.87617,0.087617
159,-0.832079932992,0.58,0.447800681280935,0.77,0.87685,0.087685
160,-0.747177226848,0.58,1.41299638379193,0.77,0.87697,0.087697
161,-0.14396031504,0.58,0.188054230395402,0.77,0.8767,0.08767
162,-0.888456218112,0.58,1.24228470730867,0.77,0.87766,0.087766
163,-0.905638896288,0.58,0.87361092671355,0.77,0.87847,0.087847
164,-1.0889246016,0.58,1.45174930396786,0.77,0.8792,0.08792
165,-0.28257147216,0.58,0.37807157077075,0.77,0.8745,0.08745
166,-0.925180184736,0.58,1.43904154278523,0.77,0.86785,0.086785
167,-1.39722495264,0.58,1.1051621673584,0.77,0.86748,0.086748
168,-0.849803234112,0.58,1.21650817466735,0.77,0.86809,0.086809
169,-1.04330889216,0.58,0.76846985518069,0.77,0.8692,0.08692
170,-1.51511395968,0.58,0.871032155792623,0.77,0.86999,0.086999
171,-1.58579963136,0.58,1.66111410336535,0.77,0.87123,0.087123
172,-1.28666185344,0.58,1.32037876124154,0.77,0.87067,0.087067
173,-0.854305658208,0.58,0.421966777723807,0.77,0.86907,0.086907
174,-1.17996924096,0.58,0.858382458820364,0.77,0.86935,0.086935
175,-0.930684992256,0.58,1.66987287711226,0.77,0.86984,0.086984
176,-1.1939880816,0.58,1.0707122055828,0.77,0.86783,0.086783
177,-0.62845082496,0.58,0.592552220506713,0.77,0.86629,0.086629
178,-1.48377650688,0.58,1.01324256149277,0.77,0.86552,0.086552
179,-0.260874955584,0.58,0.260008499459173,0.77,0.86591,0.086591
180,-1.64678314464,0.58,1.03303593012201,0.77,0.86865,0.086865
181,-0.641402947008,0.58,0.43807131499186,0.77,0.87037,0.087037
182,-1.14535276992,0.58,0.839099746323199,0.77,0.87183,0.087183
183,-0.96058112976,0.58,0.483033712280582,0.77,0.87282,0.087282
184,-1.44794596896,0.58,1.22973425512481,0.77,0.87405,0.087405
185,-1.40595170688,0.58,0.774609869220682,0.77,0.8737,0.08737
186,-1.36641670848,0.58,0.719877855370832,0.77,0.87389,0.087389
187,-1.72835391168,0.58,0.982242464481693,0.77,0.87443,0.087443
188,-1.15625861856,0.58,0.786713874217643,0.77,0.87482,0.087482
189,-1.17326593152,0.58,0.95178616548379,0.77,0.87611,0.087611
190,-1.66899953088,0.58,1.84078991119517,0.77,0.87655,0.087655
