,LAI_m2m2,LAI_unc_m2m2
2017-01-01,1.1981353133335002,0.32282090105767675
2017-01-08,1.988107052699157,0.3956117410210901
2017-01-15,1.7257728718879677,0.3714393251980962
2017-01-22,2.414173525674995,0.4348710396803865
2017-01-29,1.0983419916910786,0.3136255851455861
2017-02-05,0.9261650206029414,0.2977605791924292
2017-02-12,2.083261649701425,0.40437962814542827
2017-02-19,0.9168108664129458,0.2968986537504079
2017-02-26,2.342412573658569,0.42825872722216574
2017-03-05,1.2577501872573578,0.32831403015456706
2017-03-12,1.434394854322502,0.34459070569875094
2017-03-19,1.9347284038803403,0.39069324015578855
2017-03-26,3.3114419298120907,0.5175485806038334
2017-04-02,3.529352504549707,0.5376276454382265
2017-04-09,3.1354770706142694,0.501334545003853
2017-04-16,2.8899065114804676,0.47870678963125163
2017-04-23,2.683412627482415,0.45967969978168866
2017-04-30,3.668913115077926,0.5504872625104944
2017-05-07,3.8286017298846016,0.5652015463577948
2017-05-14,2.6469995184694017,0.4563244648300372
2017-05-21,2.5890357840623177,0.4509834776723246
2017-05-28,3.2455348963056285,0.5114756692712273
2017-06-04,3.455964653611183,0.5308654246564875
2017-06-11,2.6279021128722597,0.45456476112765637
2017-06-18,3.5616893337522226,0.5406072772935313
2017-06-25,2.690378265534128,0.46032153874807047
2017-07-02,2.867976554826895,0.4766860844773475
2017-07-09,3.1822982935269666,0.5056488210394314
2017-07-16,3.453895027378628,0.5306747218447654
2017-07-23,3.7485276432883166,0.5578232317521014
2017-07-30,3.5286219328528365,0.5375603279320187
2017-08-06,3.1302054649523323,0.5008488002803817
2017-08-13,3.212862170219421,0.5084650866678303
2017-08-20,2.528617214244604,0.4454162931424691
2017-08-27,2.8707176195928024,0.47693865605271135
2017-09-03,2.357337705808026,0.42963398262889246
2017-09-10,1.8643873726963995,0.384211764314788
2017-09-17,1.5553260222486087,0.3557337388636669
2017-09-24,1.5058880143046374,0.3511783428348808
2017-10-01,1.4384800842455454,0.34496713349068786
2017-10-08,1.5508656987803318,0.3553227486021354
2017-10-15,2.276129798322064,0.42215119368466897
2017-10-22,1.5118812687690775,0.35173058287695036
2017-10-29,1.6742371563694307,0.3666906388416423
2017-11-05,1.5296711185205556,0.3533698036765107
2017-11-12,1.639634772538145,0.3635022506268458
2017-11-19,1.50453079530171,0.3510532837899627
2017-11-26,1.6245701464897113,0.3621141417500894
2017-12-03,1.5669694999970145,0.35680661081992493
2017-12-10,1.5227689689133845,0.35273381476396737
2017-12-17,1.3936701158832947,0.340838181689904
2017-12-24,1.4191016632026148,0.34318153601347645
2017-12-31,1.86911789701581,0.384647651855466
2018-01-07,1.8332575659096237,0.38134335185015
2018-01-14,1.7479064019892903,0.3734787883423404
2018-01-21,1.9630100002629418,0.39329920826022846
2018-01-28,1.6062760643064982,0.36042845915903227
2018-02-04,1.4723964833864138,0.34809231260656437
2018-02-11,1.7941791380550185,0.3777425248252864
2018-02-18,2.4955010680215697,0.44236485221135236
2018-02-25,2.7052100938562833,0.4616881968042559
2018-03-04,0.8169640617319517,0.2876984097186043
2018-03-11,1.625364038691209,0.36218729383554726
2018-03-18,1.2869943557502959,0.331008693118513
2018-03-25,2.1025586531310134,0.40615772351064283
2018-04-01,1.3950965773306154,0.3409696209829213
2018-04-08,1.3601676850672282,0.33775114710576065
2018-04-15,2.5875990679459906,0.4508510934771882
2018-04-22,2.9642625277246752,0.48555822064965143
2018-04-29,3.305089776211693,0.5169632703033398
2018-05-06,3.5763350889098073,0.5419567898984697
2018-05-13,3.6102886867267747,0.5450853966342772
2018-05-20,2.9914663196421807,0.4880648759705813
2018-05-27,3.001782658739317,0.4890154605938121
2018-06-03,3.487512230839615,0.5337723319935932
2018-06-10,3.544160573388281,0.5389921142100604
2018-06-17,3.4177113346287187,0.5273406261334947
